Name,Race,Rarity,Type,Cost,Att,Def,Text,Notes,
Adaptability,Quadruple Radiance Empire,Common,Spell,1,-,-,"If there's no enemy in target ally's opposing row, it gans +4/+0, or it gains +0/+4.",,
Adventurer's Gear,Quadruple Radiance Empire,Common,Spell,1,-,-,Deal X damage to target enemy. (Where X is the number of all allies on the board.),,
Beam of Faith,Quadruple Radiance Empire,Common,Spell,1,-,-,,,
Spearhead,Quadruple Radiance Empire,Common,Spell,1,-,-,Give target all +3/+0.,,
Wall of Holylight,Quadruple Radiance Empire,Epic,Unit,1,0,2,"Defender
Death: If there is another ally on the board, return this card to your hand. ",,
Seal of Empire,Quadruple Radiance Empire,Epic,Spell,2,-,-,"Turn start: Summon a 1/1 Imperial Archer.
Add Seal of Empire to your hand.",,
Temple Guard,Quadruple Radiance Empire,Epic,Unit,2,2,2,When this unit attacks the enemy: Summon a 1/1 Village Militia,,
Temple Vanguard,Quadruple Radiance Empire,Rare,Unit,2,2,2,"Synergy 1
Deployment Phase: Insight 1",,
Angel Nectar,Quadruple Radiance Empire,Rare,Spell,2,-,-,"Restore 5 Health, draw a card.",,
Blessing of Reyna,Quadruple Radiance Empire,Rare,Spell,2,-,-,Give all allies +0/+3.,,
Holy Power,Quadruple Radiance Empire,Rare,Spell,2,-,-,"Douvle target Ally's Defence.
 Draw a card.",,
Fortification,Quadruple Radiance Empire,Rare,Unit,2,0,5,"Defender (Can't attack)
 Turn end: Gain +0/+2",,
Temple Garrison,Quadruple Radiance Empire,Rare,Unit,2,2,2,"Rejuvenation
 Debut: Insight 1 (Reveal 1 card in enemy player's hand)",,
Light of Awe,Quadruple Radiance Empire,Common,Spell,2,-,-,Target Enemy can't strike this turn. Draw a card.,,
Prepare For Battle,Quadruple Radiance Empire,Common,Spell,2,-,-,Give all allies +1/+1.,,
Strong unity,Quadruple Radiance Empire,Common,Spell,2,-,-,Give target all +X/+X. (Where X is the number of all allies on the board.),,
Imperial Archer,Quadruple Radiance Empire,Common,Unit,2,1,1,"First strike
 (Get priority to strike in battle phase).",,
Imperial Soldier,Quadruple Radiance Empire,Common,Unit,2,1,1,Synergy 2 (Gain +2/+0 for every adjacent ally.),,
Nun,Quadruple Radiance Empire,Common,Unit,2,1,2,Turn end: Restore 2 health.,,
Radiant Scarecrow,Quadruple Radiance Empire,Common,Unit,2,0,3,"Turn start: If the 1st enemy in opp. row just entered the board, it can't strike in this round.",,
Village Vagrant,Quadruple Radiance Empire,Common,Unit,2,1,1,Rejuvenation (When this unit attacks the enemy: Restore your health equal to the damage it dealt.),,
Parry & Riposte,Quadruple Radiance Empire,Newbie's,Spell,2,-,-,Give target ally +1/+3.,,
Field Worker,Quadruple Radiance Empire,Newbie's,Unit,2,1,3,,,
Security Guard,Quadruple Radiance Empire,Newbie's,Unit,2,2,1,,,
"Anabel, Dawn's Light",Quadruple Radiance Empire,Legendary,Unit,3,1,1,Pre-Strike: Give all allies +1/+1.,,
Reinforce Battlefront,Quadruple Radiance Empire,Epic,Spell,3,-,-,"Insight 1
Summon three 1/1 Vilage Millitia in target column. ",,
Frontier Wall,Quadruple Radiance Empire,Epic,Unit,3,0,10,"Defender
Armor 1",,
Lights of Dawn,Quadruple Radiance Empire,Epic,Spell,3,-,-,Turn end: Give all Allies +3/+3,,
White Robed Bishop,Quadruple Radiance Empire,Epic,Unit,3,2,3,Turn Start: Give all other allies +0/+1.,,
Empire's Vitality,Quadruple Radiance Empire,Rare,Spell,3,-,-,"Give target ally +0/+3, restore X Health. (X = target's Defence)",,
Armed Force,Quadruple Radiance Empire,Rare,Spell,3,-,-,Give Target ally +2/+2 and Armor 2.,,
Counter Ambush,Quadruple Radiance Empire,Rare,Spell,3,-,-,Give all allies +1/+0. Give all enemies -1/-0,,
Horn of Victory,Quadruple Radiance Empire,Rare,Spell,3,-,-,"Turn End: Draw 2 cards. If more allies than enemies are on the board, give a random ally +3/+3",,
Elite Archer,Quadruple Radiance Empire,Rare,Unit,3,3,2,"First Strike (Priority action in combat)
 Deployment phase: Insight 1",,
Fearless Dynamiter,Quadruple Radiance Empire,Rare,Unit,3,1,4,"Turn end: Deal 3 damage randomy to enemy
 Death: Deal 3 damage to your health",,
Logistics Officer,Quadruple Radiance Empire,Rare,Unit,3,2,4,Turn end: Restore your health equal to this unit's attack.,,
Shield Janissary,Quadruple Radiance Empire,Rare,Unit,3,3,1,Armor 2 (Reduce Physical damage to this unit by 2.),,
Temple Knight,Quadruple Radiance Empire,Rare,Unit,3,1,3,"Rejuvenation
Synergy 2",,
Temple Marksman,Quadruple Radiance Empire,Rare,Unit,3,1,2,"Synergy 1
 Turn start: Deal damage to enemy player equal to this unit's attack.",,
Holy shield Protector,Quadruple Radiance Empire,Common,Spell,3,-,-,Give target ally +2/+1. Give target ally Armor 5 this turn.,,
Holy Smite,Quadruple Radiance Empire,Common,Spell,3,-,-,Destroy an enemy on target square. Restore 3 Health to the enemy Player.,,
Ballista,Quadruple Radiance Empire,Common,Unit,3,0,3,Synergy 3(Gain +3/+0 for every adjacent ally.),,
Happy Dairy Cow,Quadruple Radiance Empire,Common,Unit,3,0,3,Turn end: Restore X Health (X equals to this unit's defence),,
Protection Statue,Quadruple Radiance Empire,Common,Unit,3,0,6,"Defender
Turn start: Give random adjacent ally +0/+1.",,
Temple Recruit,Quadruple Radiance Empire,Common,Unit,3,2,3,Synergy 1(Gain +1/+0 for every adjacent ally.),,
The Empire War Flag,Quadruple Radiance Empire,Common,Unit,3,0,1,"Defender, Debut: Give all adjacent allies +1/+1. Turn End: Give random ally +1/+1.",,
Kind Aunt,Quadruple Radiance Empire,Newbie's,Unit,3,1,2,Debut: Give another random ally +1/+1.,,
Militia Warrior,Quadruple Radiance Empire,Newbie's,Unit,3,3,1,,,
"Caroline, Holy Lance",Quadruple Radiance Empire,Legendary,Unit,4,3,4,"Rejuvenation
 Hexproof
 Armor 1",,
Hymn of Light,Quadruple Radiance Empire,Epic,Spell,4,-,-,Give all allies +2/+2,,
Janissary Commander,Quadruple Radiance Empire,Epic,Unit,4,2,3,"Armor 3
 Synergy 1",,
Lunar Priest,Quadruple Radiance Empire,Epic,Unit,4,1,3,Turn end: Restore 8 health.,,
Archer's Ambush,Quadruple Radiance Empire,Rare,Spell,4,-,-,"Turn end: Summon 3 1/1 Imperial Archers in target column, deal 1 Crash damage to 3 random enemies.",,
Dazzling Radiance,Quadruple Radiance Empire,Rare,Spell,4,-,-,Four enemies cannot attack this turn.,,
Seize Position,Quadruple Radiance Empire,Rare,Spell,4,-,-,Rerutn enemies in target to their owner. Summon a 1/1 Village Militia in the same row on your Fist.,,
Bartender,Quadruple Radiance Empire,Rare,Unit,4,1,5,"Turn start: Give random adjacent ally +3/-1. If there's none, this unit gains +3/-1.",,
Imperial Cannon,Quadruple Radiance Empire,Rare,Unit,4,0,7,"Defender
 Turn end: if there is an ally right behind, deal 5 damage to opponent's random area in the opposite row.",,
Monk of Peace,Quadruple Radiance Empire,Rare,Unit,4,2,2,Debut: enemies in the opposing row can't attack this turn.,,
Siege Tower,Quadruple Radiance Empire,Rare,Unit,4,1,9,Turn end: Random enemy takes 1 damage.,,
Temple Elite,Quadruple Radiance Empire,Rare,Unit,4,3,4,Synergy 2 (Gain +2/+0 for every adjacent ally.),,
The Empire Tent,Quadruple Radiance Empire,Rare,Unit,4,0,4,"Defender, Debut: Summon a 1/1 Village Militia.",,
Cooperation Tactic,Quadruple Radiance Empire,Common,Spell,4,-,-,Give target ally +2/+2/ Give adjacent allies +1/+1.,,
Stoning,Quadruple Radiance Empire,Common,Spell,4,-,-,Deal 3 damage to enemies in target row.,,
Bald Griffin,Quadruple Radiance Empire,Common,Unit,4,3,2,Rejuvenation (When this unit attacks the enemy: Restore your health equal to the damage it dealt.),,
Cautious Hackbuteer,Quadruple Radiance Empire,Common,Unit,4,3,3,Pre-Strike: If there are other allies in same row deal 1 damage to random enemy,,
Militia Captain,Quadruple Radiance Empire,Common,Unit,4,2,3,Debut: Summon a 1/1 Village Militia.,,
Pumpkin Aunt,Quadruple Radiance Empire,Common,Unit,4,2,3,Debut: Deal 2 Damage to a random enemy. ,,
Sanctuary Keeper,Quadruple Radiance Empire,Common,Unit,4,1,5,Armor 1 (Reduce physical damage to this unit by 1.),,
Vanguard Cavalry,Quadruple Radiance Empire,Common,Unit,4,3,3,"Debut: if there's no enemy in the opposing row, gain +2/-2",,
Village Taskmaster,Quadruple Radiance Empire,Common,Unit,4,1,4,When this unit attacks the enemy: Summon a 1/1 Village Militia,,
Young Cleric,Quadruple Radiance Empire,Common,Unit,4,1,3,Turn start: Give another random ally +0/+2.,,
Fat Guardsman,Quadruple Radiance Empire,Newbie's,Unit,4,2,4,,,
"Reinhardt, Militant",Quadruple Radiance Empire,Legendary,Unit,5,2,5,"Trample
Synergy 3",,
Imperial Armor Master,Quadruple Radiance Empire,Epic,Unit,5,2,6,Pre-strike: Double a random ally's defense. ,,
Royal Archer,Quadruple Radiance Empire,Epic,Unit,5,3,3,"First Strike
 Turn start: Summon a 1/1 Imperial Archer on a random adjacent square.",,
Countryside Defense,Quadruple Radiance Empire,Rare,Spell,5,-,-,"Turn End: Summon three 1/3 Field Farmers
 for every ally on the field, gain 1 health",,
Light's Retribution,Quadruple Radiance Empire,Rare,Spell,5,-,-,Destroy enemies in target row.,,
Battlefield Priest,Quadruple Radiance Empire,Rare,Unit,5,4,3,Debut: Give all other allies +1/+1.,,
Imperial Cuirassier,Quadruple Radiance Empire,Rare,Unit,5,5,2,"Debut: if the first enemy in the oppositve row just entered the board, destroy it.",,
