Map Name,Cards,Difficulties,Notes,Campaign
Thunder Bamboo,Fargesia Guard | Sika Magi | Thunderstorm,"Normal, Nightmare, Hell",,
Monster Professor,Skullcrusher | Bloodlust Osyluth | Guard Professor,"Normal, Nightmare, Hell",,
Successor of Shenron,"Big-ear Tailor | Dragon Descendant, Peng | Red Panda Trio | Mountain Hermitage | Thick Hide | Tiger Palms | Seal of Chivalry","Normal, Nightmare, Hell",,
Paean of Sun,Shaman of Madness | Swift Spearman | Behemoth Hunter | Solar Archmage,"Normal, Nightmare, Hell",,
Avatar of Deus,Frostiron Soldier | Frost Flamen | Avatar of Deus | Polar Yeti,"Normal, Nightmare, Hell",,
Paean of Armor,Temple Guard | Shield Janissary | Janissary Commander | Hymn of Light,"Normal, Nightmare, Hell",,
Blood Sickle,"Reaper of Despair | Hell Reaper | Lilith, Blood Wing","Normal, Nightmare, Hell",,
Eternal Winter,Winter-eve Herald,Normal,,
Boreas Night,"Winter-eve Herald | Boreas, Dread Lord",Nightmare,,
Desperate Winter Night,"Winter-eve Herald | Winter-Veil Knight | Boreas, Dread Lord",Hell,,
